grid_id,lat,lon
000000,51.403,-137.725
000001,51.403,-137.47499
000002,51.403,-137.22499
000003,51.403,-136.97499
000004,51.403,-136.72499
000005,51.403,-136.47499
000006,51.403,-136.22499
000007,51.403,-135.97498
000008,51.403,-135.72498
000009,51.403,-135.47498
000010,51.403,-135.22498
000011,51.403,-134.97498
000012,51.403,-134.72496
000013,51.403,-134.47496
000014,51.403,-134.22496
000015,51.403,-133.97496
000016,51.403,-133.72496
000017,51.403,-133.47496
000018,51.403,-133.22495
000019,51.403,-132.97495
000020,51.403,-132.72495
000021,51.403,-132.47495
000022,51.403,-132.22495
000023,51.403,-131.97495
000024,51.403,-131.72493
000025,51.403,-131.47493
000026,51.403,-131.22493
000027,51.403,-130.97493
000028,51.403,-130.72493
000029,51.403,-130.47493
000030,51.403,-130.22491
000031,51.403,-129.97491
000032,51.403,-129.72491
000033,51.403,-129.47491
000034,51.403,-129.22491
000035,51.403,-128.9749
000036,51.403,-128.7249
000037,51.403,-128.4749
000038,51.403,-128.2249
000039,51.403,-127.9749
000040,51.403,-127.72489
000041,51.403,-127.47489
000042,51.403,-127.224884
000043,51.403,-126.974884
000044,51.403,-126.724884
000045,51.403,-126.47488
000046,51.403,-126.22488
000047,51.403,-125.97488
000048,51.403,-125.72487
000049,51.403,-125.47487
000050,51.403,-125.22487
000051,51.403,-124.97486
000052,51.403,-124.72486
000053,51.403,-124.47486
000054,51.403,-124.22485
000055,51.403,-123.97485
000056,51.403,-123.72485
000057,51.403,-123.474846
000058,51.403,-123.224846
000059,51.403,-122.974846
000060,51.403,-122.72484
000061,51.403,-122.47484
000062,51.403,-122.22483
000063,51.403,-121.97483
000064,51.403,-121.72483
000065,51.403,-121.47482
000066,51.403,-121.22482
000067,51.403,-120.97482
000068,51.403,-120.724815
000069,51.403,-120.474815
000070,51.403,-120.224815
000071,51.403,-119.97481
000072,51.403,-119.72481
000073,51.403,-119.47481
000074,51.403,-119.2248
000075,51.403,-118.9748
000076,51.403,-118.7248
000077,51.403,-118.47479
000078,51.403,-118.22479
000079,51.403,-117.97479
000080,51.403,-117.724785
000081,51.403,-117.474785
000082,51.403,-117.22478
000083,51.403,-116.97478
000084,51.403,-116.72478
000085,51.403,-116.47477
000086,51.403,-116.22477
000087,51.403,-115.97477
000088,51.403,-115.72476
000089,51.403,-115.47476
000090,51.403,-115.22476
000091,51.403,-114.974754
000092,51.403,-114.724754
000093,51.403,-114.474754
000094,51.403,-114.22475
000095,51.403,-113.97475
000096,51.403,-113.72475
000097,51.403,-113.47474
000098,51.403,-113.22474
000099,51.403,-112.97474
000100,51.403,-112.72473
000101,51.403,-112.47473
000102,51.403,-112.224724
000103,51.403,-111.974724
000104,51.403,-111.724724
000105,51.403,-111.47472
000106,51.403,-111.22472
000107,51.403,-110.97472
000108,51.403,-110.72471
000109,51.403,-110.47471
000110,51.403,-110.22471
000111,51.403,-109.9747
000112,51.403,-109.7247
000113,51.403,-109.4747
000114,51.403,-109.22469
000115,51.403,-108.97469
000116,51.403,-108.72469
000117,51.403,-108.474686
000118,51.403,-108.224686
000119,51.403,-107.97468
000120,51.403,-107.72468
000121,51.403,-107.47468
000122,51.403,-107.22467
000123,51.403,-106.97467
000124,51.403,-106.72467
000125,51.403,-106.47466
000126,51.403,-106.22466
000127,51.403,-105.97466
000128,51.403,-105.724655
000129,51.403,-105.474655
000130,51.403,-105.224655
000131,51.403,-104.97465
000132,51.403,-104.72465
000133,51.403,-104.47465
000134,51.403,-104.22464
000135,51.403,-103.97464
000136,51.403,-103.72464
000137,51.403,-103.47463
000138,51.403,-103.22463
000139,51.403,-102.974625
000140,51.403,-102.724625
000141,51.403,-102.474625
000142,51.403,-102.22462
000143,51.403,-101.97462
000144,51.403,-101.72462
000145,51.403,-101.47461
000146,51.403,-101.22461
000147,51.403,-100.97461
000148,51.403,-100.7246
000149,51.403,-100.4746
